1982 [main] INFO  net.tomp2p.connection.PeerCreator - Status of external address search: Discover status:  ++lo( /127.0.0.1,/0:0:0:0:0:0:0:1), ++eth0(), ++eth1(), ++wlan0( /fe80:0:0:0:f038:3e05:1fa6:8a68%wlan0), ++net0(), ++ppp0(), ++eth2(), ++net1(), ++net2(), ++net3(), ++ppp1(), ++net4(), ++net5(), ++eth3(), ++net6(), ++eth4(), ++eth5(), ++net7(), ++net8( /fe80:0:0:0:0:5efe:c0a8:e%net8), ++net9( /2001:0:9d38:90d7:c17:338f:af24:4a6b,/fe80:0:0:0:c17:338f:af24:4a6b%net9), ++eth6( /fe80:0:0:0:d5b8:9640:9aa6:346c%eth6), ++net10(), ++eth7( /192.168.0.14,/fe80:0:0:0:3847:7a64:f49f:7c19%eth7), ++eth8(), ++wlan1( /fe80:0:0:0:2569:9eb9:e4c8:5698%wlan1), ++net11(), ++wlan2(), ++eth9(), ++eth10(), ++eth11(), ++eth12(), ++eth13(), ++eth14(), ++eth15(), ++eth16(), ++eth17(), ++eth18(), ++eth19(), ++wlan3(), ++wlan4(), ++wlan5(), ++wlan6(), ++wlan7(), ++wlan8(), ++wlan9(), ++wlan10(), ++wlan11().
21167 [NETTY-TOMP2P - worker-client/server - -1-16] INFO  net.tomp2p.mapreduce.TaskRPC - value for key [1316075284] requested by peer [1] is [not null], dst.currentNrOfExecutions(): 1, possible nr of executions: [2]
21230 [NETTY-TOMP2P - worker-client/server - -1-1] INFO  n.tomp2p.mapreduce.evaljob.MapTask - MAPTASK[4] put future.isSuccess()?true
21237 [NETTY-TOMP2P - worker-client/server - -1-1] INFO  n.tomp2p.mapreduce.evaljob.MapTask - >>>>>>>>>>>>>>>>>>>> FINISHED EXECUTING MAPTASK [4],[-816862022]
21318 [NETTY-TOMP2P - worker-client/server - -1-3] INFO  n.tomp2p.mapreduce.DistributedTask - in !deniedCntr.containsKey(recip) (requestor[1] GRANTED access to [1316075284]) recCntr[3] denCntr[0] for requestor/key : 1_0x1e24d719595b855e100af4cbabb1c2224e71b714_0xee2e8d67ac3ee657e7ed1bce149b8d700f558199
21319 [NETTY-TOMP2P - worker-client/server - -1-3] INFO  n.tomp2p.mapreduce.evaljob.MapTask - MAP TASK [5] future.isSuccess()?:true
21444 [NETTY-TOMP2P - worker-client/server - -1-3] INFO  n.tomp2p.mapreduce.evaljob.MapTask - net.tomp2p.mapreduce.evaljob.MapTask$1@47b6c138 [5]: input produced output[19268] words
21669 [NETTY-TOMP2P - worker-client/server - -1-9] INFO  n.tomp2p.mapreduce.evaljob.MapTask - MAPTASK[5] put future.isSuccess()?true
21673 [NETTY-TOMP2P - worker-client/server - -1-9] INFO  n.tomp2p.mapreduce.evaljob.MapTask - >>>>>>>>>>>>>>>>>>>> FINISHED EXECUTING MAPTASK [5],[1316075284]
22798 [NETTY-TOMP2P - worker-client/server - -1-12] INFO  net.tomp2p.mapreduce.TaskRPC - value for key [-1553681525] requested by peer [2] is [not null], dst.currentNrOfExecutions(): 1, possible nr of executions: [2]
24787 [NETTY-TOMP2P - worker-client/server - -1-15] INFO  net.tomp2p.mapreduce.TaskRPC - value for key [853867819] requested by peer [3] is [not null], dst.currentNrOfExecutions(): 2, possible nr of executions: [2]
25075 [pool-1-thread-6] INFO  n.tomp2p.mapreduce.evaljob.MapTask - >>>>>>>>>>>>>>>>>>>> START EXECUTING MAPTASK [7],[-1852056802]
25084 [NETTY-TOMP2P - worker-client/server - -1-2] INFO  net.tomp2p.mapreduce.TaskRPC - value for key [1698494669] requested by peer [1] is [not null], dst.currentNrOfExecutions(): 1, possible nr of executions: [2]
25205 [NETTY-TOMP2P - worker-client/server - -1-5] INFO  n.tomp2p.mapreduce.DistributedTask - in !deniedCntr.containsKey(recip) (requestor[1] GRANTED access to [1698494669]) recCntr[3] denCntr[0] for requestor/key : 1_0x1c290faf1e131def136bde631dd80200653cf8cd_0xee2e8d67ac3ee657e7ed1bce149b8d700f558199
25205 [NETTY-TOMP2P - worker-client/server - -1-5] INFO  n.tomp2p.mapreduce.evaljob.MapTask - MAP TASK [6] future.isSuccess()?:true
25301 [NETTY-TOMP2P - worker-client/server - -1-5] INFO  n.tomp2p.mapreduce.evaljob.MapTask - net.tomp2p.mapreduce.evaljob.MapTask$1@33ac4fc3 [6]: input produced output[22985] words
25536 [NETTY-TOMP2P - worker-client/server - -1-9] INFO  n.tomp2p.mapreduce.evaljob.MapTask - MAPTASK[6] put future.isSuccess()?true
